TimeSteps,"Static fine mesh",AMR/LB
953,15.2055,0.298656
954,15.2212,0.298972
955,15.2375,0.299289
956,15.2542,0.299606
957,15.2706,0.299922
958,15.2864,0.300236
959,15.3022,0.300553
960,15.318,0.300867
961,15.3338,0.301181
962,15.3497,0.301494
963,15.3655,0.301806
964,15.3813,0.302119
965,15.3972,0.302444
966,15.4131,0.302756
967,15.429,0.303067
968,15.4449,0.303378
969,15.4607,0.303689
970,15.4764,0.303997
971,15.4922,0.304311
972,15.508,0.304619
973,15.5238,0.304931
974,15.5397,0.30525
975,15.5554,0.305558
976,15.5712,0.305872
977,15.587,0.306183
978,15.6028,0.306494
979,15.6184,0.306811
980,15.6346,0.307125
981,15.6512,0.307447
982,15.6674,0.307758
983,15.6829,0.308075
984,15.6984,0.308386
985,15.714,0.3087
986,15.7296,0.309014
987,15.7454,0.309333
988,15.761,0.30965
989,15.7764,0.309961
990,15.7919,0.310286
991,15.8074,0.3106
992,15.823,0.310911
993,15.8388,0.311231
994,15.8547,0.311547
995,15.8705,0.311867
996,15.8863,0.312183
997,15.9021,0.312497
998,15.9178,0.312811
999,15.9336,0.313156
1000,15.9493,0.313464
1001,15.9651,0.313772
1002,15.9807,0.314083
1003,15.9963,0.314394
1004,16.0121,0.314719
1005,16.0277,0.315042
1006,16.0432,0.315367
1007,16.0588,0.315681
1008,16.0744,0.315997
1009,16.0906,0.316319
1010,16.1071,0.316633
1011,16.123,0.316956
1012,16.1386,0.317278
1013,16.1541,0.317594
1014,16.1697,0.317911
1015,16.1855,0.318231
1016,16.2012,0.318558
1017,16.217,0.318878
1018,16.2327,0.319208
1019,16.2484,0.319528
1020,16.264,0.319844
1021,16.2795,0.320164
1022,16.295,0.320489
1023,16.3105,0.320808
1024,16.3261,0.321125
1025,16.3418,0.321444
1026,16.3574,0.321769
1027,16.3729,0.322089
1028,16.3884,0.322411
1029,16.4038,0.322731
1030,16.4193,0.32305
1031,16.4349,0.323375
1032,16.4504,0.323692
1033,16.4659,0.324011
1034,16.4815,0.324325
1035,16.4971,0.32465
1036,16.5128,0.324967
1037,16.5284,0.325292
1038,16.544,0.325608
1039,16.5596,0.325922
1040,16.5751,0.326239
1041,16.5907,0.326556
1042,16.6066,0.326881
1043,16.6225,0.327197
1044,16.6385,0.327511
1045,16.6546,0.327825
1046,16.6706,0.328147
1047,16.6866,0.328464
1048,16.7024,0.328775
1049,16.7181,0.329114
1050,16.7337,0.329439
1051,16.7494,0.329767
1052,16.7652,0.330092
1053,16.7808,0.330408
1054,16.7963,0.330725
1055,16.8118,0.331047
1056,16.8273,0.331378
1057,16.8429,0.331703
1058,16.8584,0.332025
1059,16.8738,0.332339
1060,16.8894,0.332653
1061,16.9051,0.332975
1062,16.9207,0.333289
1063,16.9364,0.333608
1064,16.9521,0.333928
1065,16.9676,0.334247
1066,16.9831,0.334561
1067,16.999,0.334872
1068,17.0145,0.335186
1069,17.0303,0.335497
1070,17.0468,0.335811
1071,17.0632,0.336219
1072,17.0797,0.336539
1073,17.0962,0.336856
1074,17.1126,0.337169
1075,17.129,0.337481
1076,17.1453,0.337792
1077,17.1617,0.338103
1078,17.1778,0.338417
1079,17.1934,0.338731
1080,17.209,0.339044
1081,17.2246,0.339364
1082,17.2403,0.339675
1083,17.2559,0.339986
1084,17.2717,0.340297
1085,17.2876,0.340611
1086,17.3035,0.340928
1087,17.3195,0.341242
1088,17.3354,0.341553
1089,17.3513,0.341867
1090,17.3671,0.342178
1091,17.3828,0.342492
1092,17.3984,0.342803
1093,17.414,0.343114
1094,17.4296,0.343431
1095,17.4452,0.343742
1096,17.4606,0.344053
1097,17.4759,0.344367
1098,17.4914,0.344694
1099,17.5068,0.345031
1100,17.5223,0.34535
1101,17.5385,0.345672
1102,17.5547,0.345986
1103,17.5708,0.346311
1104,17.587,0.346633
1105,17.6032,0.34695
1106,17.6194,0.347261
1107,17.6356,0.347572
1108,17.6519,0.347886
1109,17.6682,0.3482
1110,17.6845,0.348514
1111,17.7008,0.348831
1112,17.7171,0.349144
1113,17.733,0.349458
1114,17.7484,0.349772
1115,17.7638,0.350089
1116,17.7792,0.350403
1117,17.7946,0.350714
1118,17.8101,0.351028
1119,17.8264,0.35135
1120,17.8426,0.351664
1121,17.8589,0.351978
1122,17.8751,0.352364
1123,17.8914,0.352681
1124,17.9077,0.352992
1125,17.924,0.353311
1126,17.9403,0.353625
1127,17.9566,0.353936
